Date,MSFT,JNJ,PG,COLA
2025-05-21,420.8718666926143,151.33777335545165,153.44671049296358,1085.9647726202293
2025-05-22,423.58566128606526,150.9388319729842,153.82703023422982,1079.9232286517345
2025-05-23,425.4785462284535,150.6415971118613,154.13246658431854,1074.1305611307125
2025-05-24,427.27647378974143,150.42758625579427,154.3595215963387,1068.6709666872312
2025-05-25,428.65903012254876,150.27985782987616,154.5172407423288,1063.5509627922047
2025-05-26,429.56149422253384,150.18359069990493,154.61771380123082,1058.7935121629243
2025-05-27,430.09322364495256,150.1262641683852,154.6731562594532,1054.3782287566464
2025-05-28,430.3469020591965,150.09767553511392,154.6944554766942,1050.3009444233676
2025-05-29,430.39855919363254,150.08967668839705,154.6907662358326,1046.5542322776273
2025-05-30,430.30820907046837,150.09592825685195,154.66943969088152,1043.1264972839617
2025-05-31,430.12212371746136,150.1115922991603,154.63622012650103,1040.0037193014505
2025-06-01,429.8750669899482,150.13302499382098,154.595512769557,1037.1695288682622
2025-06-02,429.59268795159096,150.15761859388022,154.55061880742778,1034.6060408316553
2025-06-03,429.2935552480112,150.18344582507416,154.50397040631105,1032.2942332707053
2025-06-04,428.9907327491146,150.2092028139259,154.45732747073635,1030.2153874026699
2025-06-05,428.6931557430198,150.23402470159726,154.4118814888634,1028.3501781684427
2025-06-06,428.40674784707335,150.2573451592043,154.3684522919948,1026.6804172770999
2025-06-07,428.1350592427152,150.2788744370855,154.3275645721642,1025.1878406531723
2025-06-08,427.8799647448632,150.29844570967816,154.28949707201446,1023.8558514811921
2025-06-09,427.64270093356936,150.3160501966895,154.25439189563804,1022.6687623602375
2025-06-10,427.4232478639942,150.33173618972978,154.22227637074502,1021.6117953039329
2025-06-11,427.22150581194,150.3456046621659,154.19306851420515,1020.6715364477222
2025-06-12,427.0366769838247,150.35779170853584,154.16663715301002,1019.8356329106864
2025-06-13,426.86784391702895,150.36844220367038,154.1428237864411,1019.0926412264525
2025-06-14,426.71404925925435,150.37771419283945,154.12144805161188,1018.4327094041037
2025-06-15,426.5744154375607,150.38574816072742,154.10229132684162,1017.8465917290869
2025-06-16,426.44780559609353,150.39269337231144,154.08518418032781,1017.3254971941224
2025-06-17,426.3332224928754,150.3986903122759,154.06993531809985,1016.8632114664779
2025-06-18,426.22966888592873,150.4038443441341,154.05635891172915,1016.452610798875
2025-06-19,426.13624725747377,150.4082564412529,154.04430739158124,1016.0879355658544
